stockname,stockcode
平安银行,sz000001
万  科Ａ,sz000002
国农科技,sz000004
世纪星源,sz000005
深振业Ａ,sz000006
全新好,sz000007
神州高铁,sz000008
中国宝安,sz000009
美丽生态,sz000010
深物业A,sz000011
南  玻Ａ,sz000012
沙河股份,sz000014
深康佳Ａ,sz000016
深中华A,sz000017
神州长城,sz000018
深深宝Ａ,sz000019
深华发Ａ,sz000020
深科技,sz000021
深赤湾Ａ,sz000022
深天地Ａ,sz000023
特  力Ａ,sz000025
飞亚达Ａ,sz000026
深圳能源,sz000027
国药一致,sz000028
深深房Ａ,sz000029
富奥股份,sz000030
中粮地产,sz000031
深桑达Ａ,sz000032
*ST新都,sz000033
神州数码,sz000034
中国天楹,sz000035
华联控股,sz000036
*ST南电A,sz000037
深大通,sz000038
中集集团,sz000039
东旭蓝天,sz000040
中洲控股,sz000042
中航地产,sz000043
深纺织Ａ,sz000045
泛海控股,sz000046
康达尔,sz000048
德赛电池,sz000049
深天马Ａ,sz000050
,sz
,sz
方大集团,sz000055
皇庭国际,sz000056
深 赛 格,sz000058
华锦股份,sz000059
中金岭南,sz000060
农 产 品,sz000061
深圳华强,sz000062
中兴通讯,sz000063
北方国际,sz000065
中国长城,sz000066
华控赛格,sz000068
华侨城Ａ,sz000069
特发信息,sz000070
海王生物,sz000078
盐 田 港,sz000088
深圳机场,sz000089
天健集团,sz000090
广聚能源,sz000096
中信海直,sz000099
TCL 集团,sz000100
宜华健康,sz000150
中成股份,sz000151
,sz
丰原药业,sz000153
*ST川化,sz000155
华数传媒,sz000156
中联重科,sz000157
常山股份,sz000158
国际实业,sz000159
,sz
申万宏源,sz000166
,sz
东方市场,sz000301
美的集团,sz000333
潍柴动力,sz000338
许继电气,sz000400
冀东水泥,sz000401
金 融 街,sz000402
ST生化,sz000403
华意压缩,sz000404
胜利股份,sz000407
*ST金源,sz000408
山东地矿,sz000409
沈阳机床,sz000410
英特集团,sz000411
东旭光电,sz000413
渤海金控,sz000415
民生控股,sz000416
合肥百货,sz000417
小天鹅Ａ,sz000418
通程控股,sz000419
吉林化纤,sz000420
南京公用,sz000421
湖北宜化,sz000422
东阿阿胶,sz000423
徐工机械,sz000425
兴业矿业,sz000426
华天酒店,sz000428
粤高速Ａ,sz000429
张家界,sz000430
,sz
晨鸣纸业,sz000488
山东路桥,sz000498
鄂武商Ａ,sz000501
绿景控股,sz000502
海虹控股,sz000503
*ST生物,sz000504
*ST珠江,sz000505
中润资源,sz000506
珠海港,sz000507
华塑控股,sz000509
金路集团,sz000510
*ST烯碳,sz000511
,sz
丽珠集团,sz000513
渝 开 发,sz000514
国际医学,sz000516
荣安地产,sz000517
四环生物,sz000518
中兵红箭,sz000519
长航凤凰,sz000520
美菱电器,sz000521
广州浪奇,sz000523
岭南控股,sz000524
红 太 阳,sz000525
紫光学大,sz000526
柳    工,sz000528
广弘控股,sz000529
大冷股份,sz000530
穗恒运Ａ,sz000531
力合股份,sz000532
万 家 乐,sz000533
万泽股份,sz000534
华映科技,sz000536
广宇发展,sz000537
云南白药,sz000538
粤电力Ａ,sz000539
中天金融,sz000540
佛山照明,sz000541
皖能电力,sz000543
中原环保,sz000544
金浦钛业,sz000545
金圆股份,sz000546
航天发展,sz000547
湖南投资,sz000548
江铃汽车,sz000550
创元科技,sz000551
靖远煤电,sz000552
沙隆达Ａ,sz000553
泰山石油,sz000554
神州信息,sz000555
西部创业,sz000557
莱茵体育,sz000558
万向钱潮,sz000559
昆百大Ａ,sz000560
烽火电子,sz000561
陕国投Ａ,sz000563
供销大集,sz000564
渝三峡Ａ,sz000565
海南海药,sz000566
海德股份,sz000567
泸州老窖,sz000568
苏常柴Ａ,sz000570
新大洲Ａ,sz000571
海马汽车,sz000572
粤宏远Ａ,sz000573
广东甘化,sz000576
威孚高科,sz000581
北部湾港,sz000582
友利控股,sz000584
东北电气,sz000585
汇源通信,sz000586
金洲慈航,sz000587
黔轮胎Ａ,sz000589
启迪古汉,sz000590
太阳能,sz000591
平潭发展,sz000592
大通燃气,sz000593
*ST宝实,sz000595
古井贡酒,sz000596
东北制药,sz000597
兴蓉环境,sz000598
青岛双星,sz000599
建投能源,sz000600
韶能股份,sz000601
盛达矿业,sz000603
渤海股份,sz000605
神州易桥,sz000606
华媒控股,sz000607
阳光股份,sz000608
绵石投资,sz000609
西安旅游,sz000610
*ST天首,sz000611
焦作万方,sz000612
*ST东海A,sz000613
京汉股份,sz000615
海航投资,sz000616
中油资本,sz000617
海螺型材,sz000619
新华联,sz000620
*ST恒立,sz000622
吉林敖东,sz000623
长安汽车,sz000625
远大控股,sz000626
天茂集团,sz000627
高新发展,sz000628
*ST钒钛,sz000629
铜陵有色,sz000630
顺发恒业,sz000631
三木集团,sz000632
*ST合金,sz000633
英 力 特,sz000635
风华高科,sz000636
茂化实华,sz000637
万方发展,sz000638
西王食品,sz000639
仁和药业,sz000650
格力电器,sz000651
泰达股份,sz000652
金岭矿业,sz000655
金科股份,sz000656
中钨高新,sz000657
珠海中富,sz000659
长春高新,sz000661
天夏智慧,sz000662
永安林业,sz000663
湖北广电,sz000665
经纬纺机,sz000666
美好置业,sz000667
荣丰控股,sz000668
金鸿能源,sz000669
盈方微,sz000670
阳 光 城,sz000671
上峰水泥,sz000672
当代东方,sz000673
智度股份,sz000676
恒天海龙,sz000677
襄阳轴承,sz000678
大连友谊,sz000679
山推股份,sz000680
视觉中国,sz000681
东方电子,sz000682
远兴能源,sz000683
中山公用,sz000685
东北证券,sz000686
华讯方舟,sz000687
建新矿业,sz000688
宝新能源,sz000690
ST亚太,sz000691
惠天热电,sz000692
ST华泽,sz000693
滨海能源,sz000695
炼石有色,sz000697
沈阳化工,sz000698
模塑科技,sz000700
厦门信达,sz000701
正虹科技,sz000702
恒逸石化,sz000703
浙江震元,sz000705
,sz
双环科技,sz000707
大冶特钢,sz000708
河钢股份,sz000709
*ST天仪,sz000710
京蓝科技,sz000711
锦龙股份,sz000712
丰乐种业,sz000713
中兴商业,sz000715
黑芝麻,sz000716
韶钢松山,sz000717
苏宁环球,sz000718
大地传媒,sz000719
新能泰山,sz000720
西安饮食,sz000721
湖南发展,sz000722
美锦能源,sz000723
京东方Ａ,sz000725
鲁  泰Ａ,sz000726
华东科技,sz000727
国元证券,sz000728
燕京啤酒,sz000729
四川美丰,sz000731
泰禾集团,sz000732
振华科技,sz000733
罗 牛 山,sz000735
中房地产,sz000736
南风化工,sz000737
中航动控,sz000738
普洛药业,sz000739
国海证券,sz000750
锌业股份,sz000751
西藏发展,sz000752
漳州发展,sz000753
*ST三维,sz000755
新华制药,sz000756
浩物股份,sz000757
中色股份,sz000758
中百集团,sz000759
斯太尔,sz000760
本钢板材,sz000761
西藏矿业,sz000762
通化金马,sz000766
漳泽电力,sz000767
中航飞机,sz000768
,sz
广发证券,sz000776
中核科技,sz000777
新兴铸管,sz000778
三毛派神,sz000779
平庄能源,sz000780
美达股份,sz000782
长江证券,sz000783
武汉中商,sz000785
北新建材,sz000786
北大医药,sz000788
万年青,sz000789
泰合健康,sz000790
甘肃电投,sz000791
盐湖股份,sz000792
华闻传媒,sz000793
英洛华,sz000795
凯撒旅游,sz000796
中国武夷,sz000797
中水渔业,sz000798
酒鬼酒,sz000799
一汽轿车,sz000800
四川九洲,sz000801
北京文化,sz000802
*ST金宇,sz000803
银河生物,sz000806
云铝股份,sz000807
铁岭新城,sz000809
创维数字,sz000810
烟台冰轮,sz000811
陕西金叶,sz000812
德展健康,sz000813
美利云,sz000815
智慧农业,sz000816
方大化工,sz000818
岳阳兴长,sz000819
神雾节能,sz000820
京山轻机,sz000821
山东海化,sz000822
超声电子,sz000823
太钢不锈,sz000825
启迪桑德,sz000826
东莞控股,sz000828
天音控股,sz000829
鲁西化工,sz000830
*ST五稀,sz000831
贵糖股份,sz000833
长城动漫,sz000835
鑫茂科技,sz000836
秦川机床,sz000837
财信发展,sz000838
中信国安,sz000839
承德露露,sz000848
华茂股份,sz000850
高鸿股份,sz000851
石化机械,sz000852
冀东装备,sz000856
五 粮 液,sz000858
国风塑业,sz000859
顺鑫农业,sz000860
海印股份,sz000861
银星能源,sz000862
三湘印象,sz000863
安凯客车,sz000868
张  裕Ａ,sz000869
吉电股份,sz000875
新 希 望,sz000876
天山股份,sz000877
云南铜业,sz000878
潍柴重机,sz000880
中广核技,sz000881
华联股份,sz000882
湖北能源,sz000883
同力水泥,sz000885
海南高速,sz000886
中鼎股份,sz000887
峨眉山Ａ,sz000888
